Chinua Achebe
Peter Ackroyd
Douglas Adams
Chimamanda Ngozi Adichie
Aaron Akinyemi
Alexandra Harris
Monica Ali
Dante Alighieri
Alistair Cooke
Isabel Allende
Kingsley Amis
Martin Amis
Maya Angelou
Annie Proulx
Jeffrey Archer
Philip Ardagh
Simon Armitage
Isaac Asimov
Åsne Seierstad
Diana Athill
Kate Atkinson
Margaret Atwood
WH Auden
Jane Austen
Paul Auster
Julian Baggini
Paul Bailey
Beryl Bainbridge
James Baldwin
JG Ballard
Iain Banks
John Banville
Clive Barker
Pat Barker
Nicola Barker
Julian Barnes
Sebastian Barry
Donald Barthelme
Belinda Bauer
Nina Bawden
Mary Beard
Beatrix Potter
Simone de Beauvoir
Samuel Beckett
Antony Beevor
Saul Bellow
Benjamin Markovits
George Bernard Shaw
Louis de Bernières
John Betjeman
Maeve Binchy
Carol Birch
Quentin Blake
William Blake
Enid Blyton
Roberto Bolano
Katherine Boo
Jorge Luis Borges
William Boyd
Ray Bradbury
Barbara Taylor Bradford
Stewart Brand
Raymond Briggs
Constance Briscoe
Anne Bronte
Charlotte Bronte
Emily Bronte
Anita Brookner
Dan Brown
Jeffrey Brown
Anthony Browne
Bill Bryson
Mikhail Bulgakov
Anthony Burgess
Melvin Burgess
Gordon Burn
Robert Burns
William Burroughs
AS Byatt
Lord Byron
Carmen Callil
Italo Calvino
Albert Camus
Truman Capote
Peter Carey
Carlos Fuentes
Lewis Carroll
Angela Carter
Raymond Carver
Eleanor Catton
Miguel de Cervantes
Michael Chabon
Raymond Chandler
Rajiv Chandrasekaran
Bruce Chatwin
Geoffrey Chaucer
Anton Chekhov
GK Chesterton
Lauren Child
Chris Ware
